,RSD,
TAG.52.2_FA18.2..NH4,0.034007,3.4007
TAG.52.2_FA20.0..NH4,0.392913,39.2913
TAG.52.2_FA20.1..NH4,0.098901,9.8901
TAG.52.2_FA20.2..NH4,0.077161,7.7161
TAG.52.3_FA16.0..NH4,0.048652,4.8652
TAG.52.3_FA16.1..NH4,0.056018,5.6018
TAG.52.3_FA18.0..NH4,0.063255,6.3255
TAG.52.3_FA18.1..NH4,0.039293,3.9293
TAG.52.3_FA18.2..NH4,0.054282,5.4282
TAG.52.3_FA18.3..NH4,0.0715,7.15
TAG.52.3_FA20.0..NH4,0.101061,10.1061
TAG.52.3_FA20.1..NH4,0.201746,20.1746
TAG.52.3_FA20.2..NH4,0.117403,11.7403
TAG.52.3_FA20.3..NH4,0.114933,11.4933
TAG.52.4_FA14.0..NH4,0.122088,12.2088
TAG.52.4_FA16.0..NH4,0.052125,5.2125
TAG.52.4_FA16.1..NH4,0.043201,4.3201
TAG.52.4_FA18.0..NH4,0.159674,15.9674
TAG.52.4_FA18.1..NH4,0.04342,4.342
TAG.52.4_FA18.2..NH4,0.04221,4.221
TAG.52.4_FA18.3..NH4,0.042316,4.2316
TAG.52.4_FA20.0..NH4,0.194018,19.4018
TAG.52.4_FA20.2..NH4,0.164735,16.4735
TAG.52.4_FA20.3..NH4,0.082594,8.2594
TAG.52.4_FA20.4..NH4,0.056544,5.6544
TAG.52.4_FA22.4..NH4,0.245289,24.5289
TAG.52.5_FA14.0..NH4,0.184304,18.4304
TAG.52.5_FA16.0..NH4,0.059958,5.9958
TAG.52.5_FA16.1..NH4,0.051599,5.1599
TAG.52.5_FA18.1..NH4,0.061676,6.1676
TAG.52.5_FA18.2..NH4,0.05209,5.209
TAG.52.5_FA18.3..NH4,0.043019,4.3019
TAG.52.5_FA20.3..NH4,0.145363,14.5363
TAG.52.5_FA20.4..NH4,0.071162,7.1162
TAG.52.5_FA20.5..NH4,0.115688,11.5688
TAG.52.6_FA14.0..NH4,0.298298,29.8298
TAG.52.6_FA16.0..NH4,0.025593,2.5593
TAG.52.6_FA16.1..NH4,0.0723,7.23
TAG.52.6_FA18.1..NH4,0.054215,5.4215
TAG.52.6_FA18.2..NH4,0.085109,8.5109
TAG.52.6_FA18.3..NH4,0.082137,8.2137
TAG.52.6_FA20.4..NH4,0.102863,10.2863
TAG.52.6_FA20.5..NH4,0.095344,9.5344
TAG.52.7_FA16.0..NH4,0.049445,4.9445
TAG.52.7_FA22.6..NH4,0.323211,32.3211
TAG.53.0_FA16.0..NH4,0.153298,15.3298
TAG.53.1_FA16.0..NH4,0.132263,13.2263
TAG.53.1_FA17.0..NH4,0.094557,9.4557
TAG.53.1_FA18.0..NH4,0.072786,7.2786
TAG.53.1_FA18.1..NH4,0.062146,6.2146
TAG.53.2_FA16.0..NH4,0.079993,7.9993
TAG.53.2_FA17.0..NH4,0.089791,8.9791
TAG.53.2_FA18.1..NH4,0.072473,7.2473
TAG.53.2_FA18.2..NH4,0.112973,11.2973
TAG.53.3_FA16.0..NH4,0.105663,10.5663
TAG.53.3_FA17.0..NH4,0.075976,7.5976
TAG.53.3_FA18.2..NH4,0.068144,6.8144
TAG.53.4_FA16.0..NH4,0.149746,14.9746
TAG.53.4_FA17.0..NH4,0.094438,9.4438
TAG.53.4_FA18.2..NH4,0.069468,6.9468
TAG.53.4_FA18.3..NH4,0.155092,15.5092
TAG.53.4_FA20.4..NH4,0.226152,22.6152
TAG.53.5_FA20.4..NH4,0.177734,17.7734
TAG.53.6_FA20.4..NH4,0.393751,39.3751
TAG.54.0_FA16.0..NH4,0.109457,10.9457
TAG.54.0_FA18.0..NH4,0.07586,7.586
TAG.54.1_FA16.0..NH4,0.05963,5.963
TAG.54.1_FA18.0..NH4,0.065414,6.5414
TAG.54.1_FA18.1..NH4,0.077892,7.7892
TAG.54.1_FA20.0..NH4,0.104475,10.4475
TAG.54.1_FA20.1..NH4,0.104272,10.4272
TAG.54.2_FA16.0..NH4,0.07993,7.993
TAG.54.2_FA18.0..NH4,0.057799,5.7799
TAG.54.2_FA18.1..NH4,0.051278,5.1278
TAG.54.2_FA18.2..NH4,0.057494,5.7494
TAG.54.2_FA20.0..NH4,0.11048,11.048
TAG.54.2_FA20.1..NH4,0.040348,4.0348
TAG.54.2_FA20.2..NH4,0.111832,11.1832
TAG.54.3_FA16.0..NH4,0.065726,6.5726
TAG.54.3_FA16.1..NH4,0.171171,17.1171
TAG.54.3_FA18.0..NH4,0.045145,4.5145
TAG.54.3_FA18.1..NH4,0.044726,4.4726
TAG.54.3_FA18.2..NH4,0.048686,4.8686
TAG.54.3_FA18.3..NH4,0.202538,20.2538
TAG.54.3_FA20.1..NH4,0.040874,4.0874
TAG.54.3_FA20.2..NH4,0.058213,5.8213
TAG.54.3_FA20.3..NH4,0.09616,9.616
TAG.54.4_FA16.0..NH4,0.03893,3.893
TAG.54.4_FA16.1..NH4,0.111332,11.1332
TAG.54.4_FA18.0..NH4,0.055966,5.5966
TAG.54.4_FA18.1..NH4,0.052027,5.2027
TAG.54.4_FA18.2..NH4,0.053538,5.3538
TAG.54.4_FA18.3..NH4,0.036054,3.6054
TAG.54.4_FA20.1..NH4,0.123557,12.3557
TAG.54.4_FA20.2..NH4,0.046161,4.6161
TAG.54.4_FA20.3..NH4,0.063156,6.3156
TAG.54.4_FA20.4..NH4,0.086614,8.6614
TAG.54.4_FA22.4..NH4,0.117199,11.7199
TAG.54.5_FA16.0..NH4,0.089205,8.9205
TAG.54.5_FA16.1..NH4,0.077804,7.7804
TAG.54.5_FA18.0..NH4,0.103279,10.3279
TAG.54.5_FA18.1..NH4,0.030212,3.0212
TAG.54.5_FA18.2..NH4,0.053281,5.3281
TAG.54.5_FA18.3..NH4,0.041943,4.1943
TAG.54.5_FA20.2..NH4,0.106758,10.6758
TAG.54.5_FA20.3..NH4,0.079599,7.9599
TAG.54.5_FA20.4..NH4,0.047207,4.7207
TAG.54.5_FA20.5..NH4,0.102128,10.2128
TAG.54.5_FA22.4..NH4,0.140184,14.0184
TAG.54.5_FA22.5..NH4,0.071315,7.1315
TAG.54.6_FA16.0..NH4,0.052465,5.2465
TAG.54.6_FA16.1..NH4,0.055263,5.5263
TAG.54.6_FA18.1..NH4,0.028097,2.8097
TAG.54.6_FA18.2..NH4,0.056826,5.6826
TAG.54.6_FA18.3..NH4,0.060651,6.0651
TAG.54.6_FA20.3..NH4,0.138407,13.8407
TAG.54.6_FA20.4..NH4,0.051836,5.1836
TAG.54.6_FA20.5..NH4,0.045695,4.5695
TAG.54.6_FA22.5..NH4,0.108458,10.8458
TAG.54.6_FA22.6..NH4,0.056995,5.6995
TAG.54.7_FA16.1..NH4,0.141347,14.1347
TAG.54.7_FA18.1..NH4,0.019627,1.9627
TAG.54.7_FA18.2..NH4,0.053533,5.3533
TAG.54.7_FA18.3..NH4,0.089776,8.9776
TAG.54.7_FA20.4..NH4,0.099894,9.9894
TAG.54.7_FA20.5..NH4,0.092366,9.2366
TAG.54.7_FA22.5..NH4,0.058483,5.8483
TAG.54.7_FA22.6..NH4,0.061275,6.1275
TAG.54.8_FA18.2..NH4,0.163573,16.3573
TAG.54.8_FA18.3..NH4,0.137533,13.7533
TAG.54.8_FA20.4..NH4,0.230969,23.0969
TAG.54.8_FA20.5..NH4,0.1926,19.26
TAG.54.8_FA22.6..NH4,0.243576,24.3576
TAG.55.1_FA16.0..NH4,0.096185,9.6185
TAG.55.1_FA18.1..NH4,0.022899,2.2899
TAG.55.2_FA18.1..NH4,0.066757,6.6757
TAG.55.2_FA18.2..NH4,0.201526,20.1526
TAG.55.3_FA18.1..NH4,0.093562,9.3562
TAG.55.3_FA18.2..NH4,0.15355,15.355
TAG.55.4_FA18.1..NH4,0.159444,15.9444
TAG.55.4_FA18.2..NH4,0.16716,16.716
TAG.55.5_FA18.1..NH4,0.143332,14.3332
TAG.55.5_FA18.2..NH4,0.1554,15.54
TAG.55.5_FA20.4..NH4,0.109865,10.9865
TAG.55.7_FA22.6..NH4,0.174465,17.4465
TAG.56.1_FA16.0..NH4,0.165808,16.5808
TAG.56.1_FA18.1..NH4,0.117939,11.7939
TAG.56.10_FA18.2..NH4,0.17151,17.151
TAG.56.2_FA16.0..NH4,0.141304,14.1304
TAG.56.2_FA18.0..NH4,0.09987,9.987
TAG.56.2_FA20.0..NH4,0.115978,11.5978
TAG.56.2_FA20.1..NH4,0.156029,15.6029
TAG.56.3_FA16.0..NH4,0.126747,12.6747
TAG.56.3_FA18.0..NH4,0.113577,11.3577
TAG.56.3_FA18.1..NH4,0.053934,5.3934
TAG.56.3_FA18.2..NH4,0.107105,10.7105
TAG.56.3_FA20.0..NH4,0.137152,13.7152
TAG.56.3_FA20.1..NH4,0.076034,7.6034
TAG.56.3_FA20.2..NH4,0.157625,15.7625
TAG.56.4_FA16.0..NH4,0.088116,8.8116
TAG.56.4_FA18.0..NH4,0.085934,8.5934
TAG.56.4_FA18.1..NH4,0.076805,7.6805
TAG.56.4_FA18.2..NH4,0.059613,5.9613
TAG.56.4_FA20.1..NH4,0.092412,9.2412
TAG.56.4_FA20.2..NH4,0.067462,6.7462
TAG.56.4_FA20.3..NH4,0.114422,11.4422
TAG.56.4_FA20.4..NH4,0.085247,8.5247
TAG.56.4_FA22.4..NH4,0.126782,12.6782
TAG.56.5_FA16.0..NH4,0.049495,4.9495
TAG.56.5_FA18.0..NH4,0.060059,6.0059
TAG.56.5_FA18.1..NH4,0.048393,4.8393
TAG.56.5_FA18.2..NH4,0.088654,8.8654
TAG.56.5_FA20.1..NH4,0.096589,9.6589
TAG.56.5_FA20.2..NH4,0.090029,9.0029
TAG.56.5_FA20.3..NH4,0.057645,5.7645
TAG.56.5_FA20.4..NH4,0.044584,4.4584
TAG.56.5_FA22.4..NH4,0.105385,10.5385
TAG.56.5_FA22.5..NH4,0.140076,14.0076
TAG.56.6_FA16.0..NH4,0.046647,4.6647
TAG.56.6_FA18.0..NH4,0.070221,7.0221
TAG.56.6_FA18.1..NH4,0.057087,5.7087
TAG.56.6_FA18.2..NH4,0.05299,5.299
TAG.56.6_FA18.3..NH4,0.17897,17.897
TAG.56.6_FA20.2..NH4,0.093109,9.3109
TAG.56.6_FA20.3..NH4,0.043266,4.3266
TAG.56.6_FA20.4..NH4,0.039181,3.9181
TAG.56.6_FA20.5..NH4,0.128351,12.8351
TAG.56.6_FA22.4..NH4,0.105218,10.5218
TAG.56.6_FA22.5..NH4,0.067579,6.7579
TAG.56.6_FA22.6..NH4,0.120772,12.0772
TAG.56.7_FA16.0..NH4,0.071197,7.1197
TAG.56.7_FA16.1..NH4,0.144952,14.4952
TAG.56.7_FA18.0..NH4,0.100893,10.0893
TAG.56.7_FA18.1..NH4,0.060842,6.0842
TAG.56.7_FA18.2..NH4,0.057497,5.7497
TAG.56.7_FA18.3..NH4,0.164875,16.4875
TAG.56.7_FA20.3..NH4,0.102604,10.2604
TAG.56.7_FA20.4..NH4,0.03892,3.892
TAG.56.7_FA20.5..NH4,0.088245,8.8245
TAG.56.7_FA22.4..NH4,0.202779,20.2779
TAG.56.7_FA22.5..NH4,0.054529,5.4529
TAG.56.7_FA22.6..NH4,0.070481,7.0481
TAG.56.8_FA16.0..NH4,0.129546,12.9546
TAG.56.8_FA16.1..NH4,0.138341,13.8341
TAG.56.8_FA18.1..NH4,0.024734,2.4734
TAG.56.8_FA18.2..NH4,0.075194,7.5194
TAG.56.8_FA18.3..NH4,0.162616,16.2616
TAG.56.8_FA20.4..NH4,0.08473,8.473
TAG.56.8_FA20.5..NH4,0.128512,12.8512
TAG.56.8_FA22.5..NH4,0.13138,13.138
TAG.56.8_FA22.6..NH4,0.039063,3.9063
TAG.56.9_FA18.3..NH4,0.260868,26.0868
TAG.56.9_FA20.4..NH4,0.151582,15.1582
TAG.56.9_FA20.5..NH4,0.171081,17.1081
TAG.56.9_FA22.6..NH4,0.169557,16.9557
TAG.57.2_FA18.1..NH4,0.114204,11.4204
TAG.57.3_FA18.2..NH4,0.166237,16.6237
TAG.58.10_FA18.2..NH4,0.185455,18.5455
TAG.58.10_FA20.4..NH4,0.110304,11.0304
TAG.58.10_FA20.5..NH4,0.181329,18.1329
TAG.58.10_FA22.5..NH4,0.331497,33.1497
TAG.58.10_FA22.6..NH4,0.063177,6.3177
TAG.58.2_FA18.1..NH4,0.106997,10.6997
TAG.58.3_FA18.1..NH4,0.153991,15.3991
TAG.58.6_FA16.0..NH4,0.192706,19.2706
TAG.58.6_FA18.0..NH4,0.122449,12.2449
TAG.58.6_FA18.1..NH4,0.127305,12.7305
TAG.58.6_FA20.4..NH4,0.169478,16.9478
TAG.58.6_FA22.4..NH4,0.112706,11.2706
TAG.58.6_FA22.5..NH4,0.089411,8.9411
TAG.58.7_FA16.0..NH4,0.099519,9.9519
TAG.58.7_FA18.0..NH4,0.112673,11.2673
TAG.58.7_FA18.1..NH4,0.092689,9.2689
TAG.58.7_FA18.2..NH4,0.154716,15.4716
TAG.58.7_FA20.4..NH4,0.081238,8.1238
TAG.58.7_FA22.4..NH4,0.114991,11.4991
TAG.58.7_FA22.5..NH4,0.077472,7.7472
TAG.58.7_FA22.6..NH4,0.111641,11.1641
TAG.58.8_FA18.1..NH4,0.029273,2.9273
TAG.58.8_FA18.2..NH4,0.088128,8.8128
TAG.58.8_FA20.3..NH4,0.121434,12.1434
TAG.58.8_FA20.4..NH4,0.077063,7.7063
TAG.58.8_FA22.5..NH4,0.086212,8.6212
TAG.58.8_FA22.6..NH4,0.0516,5.16
TAG.58.9_FA18.1..NH4,0.099151,9.9151
TAG.58.9_FA18.2..NH4,0.110432,11.0432
TAG.58.9_FA20.4..NH4,0.095624,9.5624
TAG.58.9_FA22.5..NH4,0.189564,18.9564
TAG.58.9_FA22.6..NH4,0.0763,7.63
TAG.60.10_FA22.5..NH4,0.177795,17.7795
TAG.60.10_FA22.6..NH4,0.204399,20.4399
TAG.60.11_FA22.5..NH4,0.413579,41.3579
TAG.60.11_FA22.6..NH4,0.218256,21.8256
TG.49.1...NL.15.0.,0.062773,6.2773
TG.51.2...NL.15.0.,0.079343,7.9343
TG.O.50.1...NL.16.0.,0.092567,9.2567
TG.O.52.0...NL.16.0.,0.036099,3.6099
TG.O.52.2...NL.16.0.,0.063492,6.3492
